CustomerID,Recency,Frequency,Monetary,LastPurchase,Cluster
12346,326,1,77183.6,2011-01-18 10:01:00,0
12347,3,7,4310.0,2011-12-07 15:52:00,0
12348,76,4,1797.24,2011-09-25 13:13:00,0
12349,19,1,1757.55,2011-11-21 09:51:00,1
12350,311,1,334.4,2011-02-02 16:01:00,1
12352,37,8,2506.04,2011-11-03 14:37:00,0
12353,205,1,89.0,2011-05-19 17:47:00,1
12354,233,1,1079.4,2011-04-21 13:11:00,1
12355,215,1,459.4,2011-05-09 13:49:00,1
12356,23,3,2811.43,2011-11-17 08:40:00,0
12357,34,1,6207.67,2011-11-06 16:07:00,0
12358,2,2,1168.06,2011-12-08 10:26:00,0
12359,58,4,6310.03,2011-10-13 12:47:00,0
12360,53,3,2662.06,2011-10-18 15:22:00,0
12361,288,1,189.9,2011-02-25 13:51:00,1
12362,4,10,5226.23,2011-12-06 15:40:00,0
12363,110,2,552.0,2011-08-22 10:18:00,1
12364,8,4,1313.1,2011-12-02 10:22:00,0
12365,292,2,641.38,2011-02-21 14:04:00,1
12367,5,1,168.9,2011-12-05 16:48:00,1
12370,52,4,3541.94,2011-10-19 14:51:00,0
12371,45,2,1887.96,2011-10-26 10:16:00,1
12372,72,3,1298.04,2011-09-29 12:12:00,1
12373,312,1,364.6,2011-02-01 13:10:00,1
12374,26,1,742.9300000000001,2011-11-14 15:37:00,1
12375,11,2,457.5,2011-11-29 10:36:00,1
12377,316,2,1628.12,2011-01-28 15:45:00,1
12378,130,1,4008.62,2011-08-02 10:34:00,1
12379,82,2,852.24,2011-09-19 10:09:00,1
12380,22,4,2724.81,2011-11-18 11:27:00,0
12381,5,5,1845.31,2011-12-05 12:44:00,0
12383,185,5,1850.56,2011-06-08 08:02:00,0
12384,29,2,585.27,2011-11-11 08:39:00,1
12386,338,2,401.9,2011-01-06 12:37:00,1
12388,16,6,2780.66,2011-11-24 12:30:00,0
12390,80,1,549.84,2011-09-21 09:33:00,1
12391,22,1,439.66,2011-11-18 12:07:00,1
12393,73,4,1582.6000000000001,2011-09-28 15:41:00,0
12394,64,2,1272.48,2011-10-07 08:08:00,1
12395,20,12,3018.63,2011-11-20 15:21:00,0
12397,36,2,2409.9,2011-11-04 09:52:00,0
12398,46,1,1635.6599999999999,2011-10-25 10:27:00,1
12399,120,4,1108.65,2011-08-12 13:15:00,1
12401,304,1,84.3,2011-02-09 13:50:00,1
12402,324,1,225.6,2011-01-20 13:49:00,1
12403,50,1,427.7,2011-10-21 10:51:00,1
12405,149,1,1710.39,2011-07-14 08:52:00,1
12406,23,2,3415.3,2011-11-17 19:22:00,0
12407,50,5,1708.1200000000001,2011-10-21 10:11:00,0
12408,33,5,2888.55,2011-11-07 12:27:00,0
12409,79,3,11072.67,2011-09-22 10:38:00,0
12410,309,2,693.3299999999999,2011-02-04 10:39:00,1
12412,75,3,1226.88,2011-09-26 10:16:00,1
12413,67,3,758.1,2011-10-04 09:00:00,1
12414,218,3,562.41,2011-05-06 14:51:00,1
12415,25,21,124914.53,2011-11-15 14:22:00,0
12417,4,9,3649.1,2011-12-06 14:52:00,0
12418,113,1,668.58,2011-08-19 11:08:00,1
12420,64,1,600.39,2011-10-07 08:55:00,1
12421,16,4,807.04,2011-11-24 09:07:00,0
12422,96,3,803.5600000000001,2011-09-05 09:48:00,1
12423,1,8,1859.31,2011-12-09 10:10:00,0
12424,163,2,1760.96,2011-06-30 12:06:00,1
12425,79,1,777.2,2011-09-22 17:31:00,1
12426,195,1,582.73,2011-05-29 12:26:00,1
12427,22,3,825.8,2011-11-18 08:56:00,0
12428,26,9,7956.46,2011-11-14 08:22:00,0
12429,10,4,3750.4,2011-11-30 17:22:00,0
12430,44,1,256.4,2011-10-27 15:09:00,1
12431,36,15,6419.95,2011-11-04 11:55:00,0
12432,43,5,5059.32,2011-10-28 11:43:00,0
12433,1,7,13375.87,2011-12-09 10:02:00,0
12434,85,2,806.14,2011-09-16 12:38:00,1
12435,80,2,7829.89,2011-09-21 09:06:00,0
12436,100,1,509.01,2011-09-01 12:09:00,1
12437,2,18,4951.41,2011-12-08 11:35:00,0
12438,15,2,2906.85,2011-11-25 13:28:00,0
12441,367,1,173.55,2010-12-08 10:45:00,1
12442,4,1,172.06,2011-12-06 14:22:00,1
12444,22,5,5005.46,2011-11-18 13:23:00,0
12445,23,1,133.4,2011-11-17 18:43:00,1
12446,58,1,1002.3100000000001,2011-10-13 12:50:00,1
12447,244,1,476.49,2011-04-10 13:25:00,1
12448,45,1,449.45,2011-10-26 13:46:00,1
12449,23,4,4067.29,2011-11-17 13:46:00,0
12450,157,2,197.88,2011-07-06 14:41:00,1
12451,11,5,9035.52,2011-11-29 08:40:00,0
12452,17,2,430.57,2011-11-23 10:28:00,1
12453,135,1,707.09,2011-07-28 14:08:00,1
12454,57,1,3528.34,2011-10-14 17:13:00,1
12455,74,6,2466.86,2011-09-27 15:31:00,0
12456,45,3,3181.04,2011-10-26 14:41:00,0
12457,67,7,2363.23,2011-10-04 13:13:00,0
12458,72,2,947.4,2011-09-29 15:25:00,1
12461,95,2,826.88,2011-09-06 16:57:00,1
12462,19,2,1189.59,2011-11-21 09:11:00,0
12463,54,4,1344.78,2011-10-17 13:44:00,0
12464,11,8,1212.05,2011-11-29 13:33:00,0
12465,18,2,742.1899999999999,2011-11-22 16:34:00,1
12468,188,2,729.5400000000001,2011-06-05 11:36:00,1
12471,3,30,19788.65,2011-12-07 15:43:00,0
12472,33,7,6572.11,2011-11-07 14:01:00,0
12473,30,5,3928.0499999999997,2011-11-10 13:46:00,0
12474,18,18,7324.09,2011-11-22 14:39:00,0
12475,54,1,723.38,2011-10-17 10:10:00,1
12476,16,11,6816.42,2011-11-24 12:40:00,0
12477,23,6,13219.74,2011-11-17 09:51:00,0
12478,4,1,680.99,2011-12-06 09:56:00,1
12479,12,1,527.2,2011-11-28 13:26:00,1
12480,29,4,3281.63,2011-11-11 14:52:00,0
12481,23,10,5579.82,2011-11-17 08:29:00,0
12483,18,8,2484.98,2011-11-22 17:02:00,0
12484,33,6,4527.32,2011-11-07 11:37:00,0
12488,10,3,1298.66,2011-11-30 08:50:00,0
12489,337,1,334.93,2011-01-07 13:13:00,1
12490,6,10,5417.93,2011-12-04 16:07:00,0
12491,39,1,460.40000000000003,2011-11-01 12:18:00,1
12492,64,2,263.21000000000004,2011-10-07 15:15:00,1
12493,166,2,433.74,2011-06-27 10:17:00,1
12494,16,7,1246.1000000000001,2011-11-24 09:34:00,0
12497,82,1,1043.1,2011-09-19 12:29:00,1
12498,22,3,403.70000000000005,2011-11-18 12:53:00,1
12500,24,11,4257.82,2011-11-16 16:20:00,0
